"compound","keggid","number","Pathway_Description"
"Peroxidase","C05785","hsa00860","Porphyrin and chlorophyll metabolism"
"(3Z)-Phycocyanobilin","C05786","hsa00860","Porphyrin and chlorophyll metabolism"
"Bilirubin beta-diglucuronide","C05787","hsa00860","Porphyrin and chlorophyll metabolism"
"L-Urobilinogen","C05789","hsa00860","Porphyrin and chlorophyll metabolism"
"I-Urobilinogen","C05790","hsa00860","Porphyrin and chlorophyll metabolism"
"D-Urobilinogen","C05791","hsa00860","Porphyrin and chlorophyll metabolism"
"L-Urobilin","C05793","hsa00860","Porphyrin and chlorophyll metabolism"
"Urobilin","C05794","hsa00860","Porphyrin and chlorophyll metabolism"
"D-Urobilin","C05795","hsa00860","Porphyrin and chlorophyll metabolism"
"Pheophytin a","C05797","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriopheophytin","C05798","hsa00860","Porphyrin and chlorophyll metabolism"
"(3Z)-Phycoerythrobilin","C05912","hsa00860","Porphyrin and chlorophyll metabolism"
"(3Z)-Phytochromobilin","C05913","hsa00860","Porphyrin and chlorophyll metabolism"
"Precorrin 6Y","C06319","hsa00860","Porphyrin and chlorophyll metabolism"
"Precorrin 6X","C06320","hsa00860","Porphyrin and chlorophyll metabolism"
"Hydrogenobyrinate","C06399","hsa00860","Porphyrin and chlorophyll metabolism"
"Precorrin 3B","C06406","hsa00860","Porphyrin and chlorophyll metabolism"
"Precorrin 4","C06407","hsa00860","Porphyrin and chlorophyll metabolism"
"Precorrin 8X","C06408","hsa00860","Porphyrin and chlorophyll metabolism"
"Precorrin 5","C06416","hsa00860","Porphyrin and chlorophyll metabolism"
"Hydrogenobyrinate a,c diamide","C06503","hsa00860","Porphyrin and chlorophyll metabolism"
"Cob(II)yrinate a,c diamide","C06504","hsa00860","Porphyrin and chlorophyll metabolism"
"Cob(I)yrinate a,c diamide","C06505","hsa00860","Porphyrin and chlorophyll metabolism"
"Adenosyl cobyrinate a,c diamide","C06506","hsa00860","Porphyrin and chlorophyll metabolism"
"Adenosyl cobyrinate hexaamide","C06507","hsa00860","Porphyrin and chlorophyll metabolism"
"Adenosyl cobinamide","C06508","hsa00860","Porphyrin and chlorophyll metabolism"
"Adenosyl cobinamide phosphate","C06509","hsa00860","Porphyrin and chlorophyll metabolism"
"Adenosine-GDP-cobinamide","C06510","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriochlorophyll a","C11242","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriochlorophyll b","C11243","hsa00860","Porphyrin and chlorophyll metabolism"
"Cobalt-sirohydrochlorin","C11538","hsa00860","Porphyrin and chlorophyll metabolism"
"Cobalt-precorrin 4","C11540","hsa00860","Porphyrin and chlorophyll metabolism"
"Cobalt-precorrin 6","C11542","hsa00860","Porphyrin and chlorophyll metabolism"
"Cobalt-dihydro-precorrin 6","C11543","hsa00860","Porphyrin and chlorophyll metabolism"
"Cobalt-precorrin 8","C11545","hsa00860","Porphyrin and chlorophyll metabolism"
"15,16-Dihydrobiliverdin","C11630","hsa00860","Porphyrin and chlorophyll metabolism"
"13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester","C11829","hsa00860","Porphyrin and chlorophyll metabolism"
"13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester","C11830","hsa00860","Porphyrin and chlorophyll metabolism"
"Divinylprotochlorophyllide","C11831","hsa00860","Porphyrin and chlorophyll metabolism"
"Divinyl chlorophyllide a","C11832","hsa00860","Porphyrin and chlorophyll metabolism"
"Divinylchlorophyll a","C11850","hsa00860","Porphyrin and chlorophyll metabolism"
"Zn-Bacteriochlorophyll a","C11851","hsa00860","Porphyrin and chlorophyll metabolism"
"L-Threonine O-3-phosphate","C12147","hsa00860","Porphyrin and chlorophyll metabolism"
"Fe2+","C14818","hsa00860","Porphyrin and chlorophyll metabolism"
"Fe3+","C14819","hsa00860","Porphyrin and chlorophyll metabolism"
"Heme A","C15670","hsa00860","Porphyrin and chlorophyll metabolism"
"Heme O","C15672","hsa00860","Porphyrin and chlorophyll metabolism"
"Cobalt-precorrin 5A","C16242","hsa00860","Porphyrin and chlorophyll metabolism"
"Cobalt-precorrin 5B","C16243","hsa00860","Porphyrin and chlorophyll metabolism"
"Cobalt-precorrin 7","C16244","hsa00860","Porphyrin and chlorophyll metabolism"
"7(1)-Hydroxychlorophyllide a","C16540","hsa00860","Porphyrin and chlorophyll metabolism"
"Chlorophyllide b","C16541","hsa00860","Porphyrin and chlorophyll metabolism"
"Cobalt-factor III","C17401","hsa00860","Porphyrin and chlorophyll metabolism"
"Pheophorbide a","C18021","hsa00860","Porphyrin and chlorophyll metabolism"
"Red chlorophyll catabolite","C18022","hsa00860","Porphyrin and chlorophyll metabolism"
"Pyropheophorbide a","C18064","hsa00860","Porphyrin and chlorophyll metabolism"
"Primary fluorescent chlorophyll catabolite","C18098","hsa00860","Porphyrin and chlorophyll metabolism"
"7(1)-Hydroxychlorophyll a","C18151","hsa00860","Porphyrin and chlorophyll metabolism"
"3-Vinylbacteriochlorophyllide a","C18152","hsa00860","Porphyrin and chlorophyll metabolism"
"3-Hydroxyethylbacteriochlorophyllide a","C18153","hsa00860","Porphyrin and chlorophyll metabolism"
"3-Hydroxyethylchlorophyllide a","C18154","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriochlorophyllide a","C18155","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriochlorophyllide b","C18156","hsa00860","Porphyrin and chlorophyll metabolism"
"8-Ethyl-12-methyl-3-vinylbacteriochlorophyllide d","C18157","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriochlorophyllide d","C18160","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriochlorophyllide c","C18161","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriochlorophyll d","C18162","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriochlorophyll c","C18163","hsa00860","Porphyrin and chlorophyll metabolism"
"Ferritin","C19608","hsa00860","Porphyrin and chlorophyll metabolism"
"5-Oxo-delta-bilirubin","C20666","hsa00860","Porphyrin and chlorophyll metabolism"
"Geranylgeranyl bacteriochlorophyllide a","C21217","hsa00860","Porphyrin and chlorophyll metabolism"
"Fe-coproporphyrin III","C21284","hsa00860","Porphyrin and chlorophyll metabolism"
"8,12-Diethyl-3-vinylbacteriochlorophyllide d","C21427","hsa00860","Porphyrin and chlorophyll metabolism"
"12-Ethyl-8-propyl-3-vinylbacteriochlorophyllide d","C21428","hsa00860","Porphyrin and chlorophyll metabolism"
"12-Ethyl-8-isobutyl-3-vinylbacteriochlorophyllide d","C21429","hsa00860","Porphyrin and chlorophyll metabolism"
"8-Ethyl-12-methylbacteriochlorophyllide d","C21431","hsa00860","Porphyrin and chlorophyll metabolism"
"8,12-Diethylbacteriochlorophyllide d","C21432","hsa00860","Porphyrin and chlorophyll metabolism"
"12-Ethyl-8-propylbacteriochlorophyllide d","C21433","hsa00860","Porphyrin and chlorophyll metabolism"
"12-Ethyl-8-isobutylbacteriochlorophyllide d","C21434","hsa00860","Porphyrin and chlorophyll metabolism"
"Geranylgeranyl bacteriochlorophyllide b","C21435","hsa00860","Porphyrin and chlorophyll metabolism"
"Nickel-sirohydrochlorin","C21510","hsa00860","Porphyrin and chlorophyll metabolism"
"Nickel-sirohydrochlorin a,c-diamide","C21511","hsa00860","Porphyrin and chlorophyll metabolism"
"15,17(3)-Seco-F430-17(3)-acid","C21512","hsa00860","Porphyrin and chlorophyll metabolism"
"Bacteriochlorophyllide e","C21582","hsa00860","Porphyrin and chlorophyll metabolism"
"Biliverdin-IX-delta","C21723","hsa00860","Porphyrin and chlorophyll metabolism"
"Biliverdin-IX-beta","C21724","hsa00860","Porphyrin and chlorophyll metabolism"
"12,18-Didecarboxysiroheme","C21835","hsa00860","Porphyrin and chlorophyll metabolism"
"Dihydro-heme d1","C22338","hsa00860","Porphyrin and chlorophyll metabolism"
"Heme d1","C22339","hsa00860","Porphyrin and chlorophyll metabolism"
"Pyruvate","C00022","hsa00900","Terpenoid backbone biosynthesis"
"Acetyl-CoA","C00024","hsa00900","Terpenoid backbone biosynthesis"
"D-Glyceraldehyde 3-phosphate","C00118","hsa00900","Terpenoid backbone biosynthesis"
"Isopentenyl diphosphate","C00129","hsa00900","Terpenoid backbone biosynthesis"
"Dimethylallyl diphosphate","C00235","hsa00900","Terpenoid backbone biosynthesis"
"Acetoacetyl-CoA","C00332","hsa00900","Terpenoid backbone biosynthesis"
"Geranyl diphosphate","C00341","hsa00900","Terpenoid backbone biosynthesis"
"Geranylgeranyl diphosphate","C00353","hsa00900","Terpenoid backbone biosynthesis"
"(S)-3-Hydroxy-3-methylglutaryl-CoA","C00356","hsa00900","Terpenoid backbone biosynthesis"
"(R)-Mevalonate","C00418","hsa00900","Terpenoid backbone biosynthesis"
"trans,trans-Farnesyl diphosphate","C00448","hsa00900","Terpenoid backbone biosynthesis"
"(R)-5-Phosphomevalonate","C01107","hsa00900","Terpenoid backbone biosynthesis"
"(2E,6E)-Farnesol","C01126","hsa00900","Terpenoid backbone biosynthesis"
"(R)-5-Diphosphomevalonate","C01143","hsa00900","Terpenoid backbone biosynthesis"
"all-trans-Hexaprenyl diphosphate","C01230","hsa00900","Terpenoid backbone biosynthesis"
"cis-1,4-Polyisoprene","C02321","hsa00900","Terpenoid backbone biosynthesis"
"2-trans,6-trans-Farnesal","C03461","hsa00900","Terpenoid backbone biosynthesis"
"all-trans-Nonaprenyl diphosphate","C04145","hsa00900","Terpenoid backbone biosynthesis"
"all-trans-Octaprenyl diphosphate","C04146","hsa00900","Terpenoid backbone biosynthesis"
"all-trans-Heptaprenyl diphosphate","C04216","hsa00900","Terpenoid backbone biosynthesis"
"Protein C-terminal S-farnesyl-L-cysteine","C04506","hsa00900","Terpenoid backbone biosynthesis"
"di-trans,poly-cis-Undecaprenyl diphosphate","C04574","hsa00900","Terpenoid backbone biosynthesis"
"Protein C-terminal S-farnesyl-L-cysteine methyl ester","C04748","hsa00900","Terpenoid backbone biosynthesis"
"Phytyl diphosphate","C05427","hsa00900","Terpenoid backbone biosynthesis"
"Dehydrodolichol diphosphate","C05859","hsa00900","Terpenoid backbone biosynthesis"
"Polyprenol","C06081","hsa00900","Terpenoid backbone biosynthesis"
"2-C-Methyl-D-erythritol 4-phosphate","C11434","hsa00900","Terpenoid backbone biosynthesis"
"4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol","C11435","hsa00900","Terpenoid backbone biosynthesis"
"2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol","C11436","hsa00900","Terpenoid backbone biosynthesis"
"1-Deoxy-D-xylulose 5-phosphate","C11437","hsa00900","Terpenoid backbone biosynthesis"
"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate","C11453","hsa00900","Terpenoid backbone biosynthesis"
"1-Hydroxy-2-methyl-2-butenyl 4-diphosphate","C11811","hsa00900","Terpenoid backbone biosynthesis"
"Isoprene","C16521","hsa00900","Terpenoid backbone biosynthesis"
"2-cis,6-trans-Farnesyl diphosphate","C16826","hsa00900","Terpenoid backbone biosynthesis"
"all-trans-Decaprenyl diphosphate","C17432","hsa00900","Terpenoid backbone biosynthesis"
"trans,octacis-Decaprenyl diphosphate","C18321","hsa00900","Terpenoid backbone biosynthesis"
"Farnesylcysteine","C19691","hsa00900","Terpenoid backbone biosynthesis"
"(2Z,6Z)-Farnesyl diphosphate","C19760","hsa00900","Terpenoid backbone biosynthesis"
"tritrans,heptacis-Undecaprenyl diphosphate","C19852","hsa00900","Terpenoid backbone biosynthesis"
"trans,polycis-Polyprenyl diphosphate","C19853","hsa00900","Terpenoid backbone biosynthesis"
"S-Farnesyl protein","C20120","hsa00900","Terpenoid backbone biosynthesis"
"trans,trans-Farnesyl phosphate","C20121","hsa00900","Terpenoid backbone biosynthesis"
"Isopentenyl phosphate","C20345","hsa00900","Terpenoid backbone biosynthesis"
"(R)-Mevalonate 3-phosphate","C20847","hsa00900","Terpenoid backbone biosynthesis"
"(R)-Mevalonate 3,5-bisphosphate","C20848","hsa00900","Terpenoid backbone biosynthesis"
"CO2","C00011","hsa00910","Nitrogen metabolism"
"Ammonia","C00014","hsa00910","Nitrogen metabolism"
"L-Glutamate","C00025","hsa00910","Nitrogen metabolism"
"Formate","C00058","hsa00910","Nitrogen metabolism"
"L-Glutamine","C00064","hsa00910","Nitrogen metabolism"
"Nitrite","C00088","hsa00910","Nitrogen metabolism"
"Carbamoyl phosphate","C00169","hsa00910","Nitrogen metabolism"
"Hydroxylamine","C00192","hsa00910","Nitrogen metabolism"
"Nitrate","C00244","hsa00910","Nitrogen metabolism"
"HCO3-","C00288","hsa00910","Nitrogen metabolism"
"Formamide","C00488","hsa00910","Nitrogen metabolism"
"Nitric oxide","C00533","hsa00910","Nitrogen metabolism"
"Nitrogen","C00697","hsa00910","Nitrogen metabolism"
"Nitrile","C00726","hsa00910","Nitrogen metabolism"
"Nitrous oxide","C00887","hsa00910","Nitrogen metabolism"
"Cyanate","C01417","hsa00910","Nitrogen metabolism"
"Carbamate","C01563","hsa00910","Nitrogen metabolism"
"Hydrazine","C05361","hsa00910","Nitrogen metabolism"
"Nitroalkane","C06058","hsa00910","Nitrogen metabolism"
"Acetate","C00033","hsa00920","Sulfur metabolism"
"Succinate","C00042","hsa00920","Sulfur metabolism"
"3'-Phosphoadenylyl sulfate","C00053","hsa00920","Sulfur metabolism"
"Adenosine 3',5'-bisphosphate","C00054","hsa00920","Sulfur metabolism"
"Sulfate","C00059","hsa00920","Sulfur metabolism"
"L-Serine","C00065","hsa00920","Sulfur metabolism"
"Acetaldehyde","C00084","hsa00920","Sulfur metabolism"
"Sulfur","C00087","hsa00920","Sulfur metabolism"
"Sulfite","C00094","hsa00920","Sulfur metabolism"
"L-Cysteine","C00097","hsa00920","Sulfur metabolism"
"L-Homocysteine","C00155","hsa00920","Sulfur metabolism"
"Adenylyl sulfate","C00224","hsa00920","Sulfur metabolism"
"Taurine","C00245","hsa00920","Sulfur metabolism"
"L-Homoserine","C00263","hsa00920","Sulfur metabolism"
"Hydrogen sulfide","C00283","hsa00920","Sulfur metabolism"
"Thiosulfate","C00320","hsa00920","Sulfur metabolism"
"Methanethiol","C00409","hsa00920","Sulfur metabolism"
"Dimethyl sulfide","C00580","hsa00920","Sulfur metabolism"
"O-Acetyl-L-serine","C00979","hsa00920","Sulfur metabolism"
"O-Succinyl-L-homoserine","C01118","hsa00920","Sulfur metabolism"
"Trithionate","C01861","hsa00920","Sulfur metabolism"
"Tetrathionate","C02084","hsa00920","Sulfur metabolism"
"2-(Methylthio)ethanesulfonate","C03920","hsa00920","Sulfur metabolism"
"S,S-Dimethyl-beta-propiothetin","C04022","hsa00920","Sulfur metabolism"
"3-(Methylthio)propanoate","C08276","hsa00920","Sulfur metabolism"
"Dimethyl sulfone","C11142","hsa00920","Sulfur metabolism"
"Dimethyl sulfoxide","C11143","hsa00920","Sulfur metabolism"
"Methanesulfonic acid","C11145","hsa00920","Sulfur metabolism"
"Alkanesulfonate","C15521","hsa00920","Sulfur metabolism"
"S-Sulfanylglutathione","C17267","hsa00920","Sulfur metabolism"
"Polysulfide","C19692","hsa00920","Sulfur metabolism"
"3-(Methylthio)propanoyl-CoA","C20870","hsa00920","Sulfur metabolism"
"3-(Methylthio)acryloyl-CoA","C20955","hsa00920","Sulfur metabolism"
"L-Glutamate","C00025","hsa00970","Aminoacyl-tRNA biosynthesis"
"Glycine","C00037","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Alanine","C00041","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Lysine","C00047","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Aspartate","C00049","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Arginine","C00062","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Glutamine","C00064","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Serine","C00065","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Methionine","C00073","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Tryptophan","C00078","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Phenylalanine","C00079","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Tyrosine","C00082","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Cysteine","C00097","hsa00970","Aminoacyl-tRNA biosynthesis"
"Tetrahydrofolate","C00101","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Leucine","C00123","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Histidine","C00135","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Proline","C00148","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Asparagine","C00152","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Valine","C00183","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Threonine","C00188","hsa00970","Aminoacyl-tRNA biosynthesis"
"10-Formyltetrahydrofolate","C00234","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Isoleucine","C00407","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Alanyl-tRNA","C00886","hsa00970","Aminoacyl-tRNA biosynthesis"
"O-Phospho-L-serine","C01005","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Lysyl-tRNA","C01931","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Leucyl-tRNA","C02047","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Arginyl-tRNA(Arg)","C02163","hsa00970","Aminoacyl-tRNA biosynthesis"
"Glutaminyl-tRNA","C02282","hsa00970","Aminoacyl-tRNA biosynthesis"
"Glycyl-tRNA(Gly)","C02412","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Methionyl-tRNA","C02430","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Seryl-tRNA(Ser)","C02553","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Valyl-tRNA(Val)","C02554","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Prolyl-tRNA(Pro)","C02702","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Tyrosyl-tRNA(Tyr)","C02839","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Aspartyl-tRNA(Asp)","C02984","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Glutamyl-tRNA(Glu)","C02987","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Histidyl-tRNA(His)","C02988","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Threonyl-tRNA(Thr)","C02992","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Cysteinyl-tRNA(Cys)","C03125","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Isoleucyl-tRNA(Ile)","C03127","hsa00970","Aminoacyl-tRNA biosynthesis"
"N-Formylmethionyl-tRNA","C03294","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Asparaginyl-tRNA(Asn)","C03402","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Phenylalanyl-tRNA(Phe)","C03511","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Tryptophanyl-tRNA(Trp)","C03512","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Glutamyl-tRNA(Gln)","C06112","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Aspartyl-tRNA(Asn)","C06113","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Seryl-tRNA(Sec)","C06481","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Selenocysteinyl-tRNA(Sec)","C06482","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Pyrrolysine","C16138","hsa00970","Aminoacyl-tRNA biosynthesis"
"O-Phosphoseryl-tRNA(Sec)","C16638","hsa00970","Aminoacyl-tRNA biosynthesis"
"O-Phosphoseryl-tRNA(Cys)","C17022","hsa00970","Aminoacyl-tRNA biosynthesis"
"L-Pyrrolysyl-tRNA(Pyl)","C17027","hsa00970","Aminoacyl-tRNA biosynthesis"
"Nicotine","C00745","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Naphthalene","C00829","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1,4-Naphthoquinone","C02617","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Naphthalene-1,2-diol","C03012","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1,2-Dihydronaphthalene-1,2-diol","C06205","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Chloroacetic acid","C06755","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Trichloroethene","C06790","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Aflatoxin B1","C06800","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Chloral hydrate","C06899","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Trichloroethanol","C07490","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Benzo[a]pyrene","C07535","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Bromobenzene","C11036","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1,2-Dibromoethane","C11088","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"TCE epoxide","C11148","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Dichloroacetate","C11149","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Trichloroacetate","C11150","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Aflatoxin B1exo-8,9-epoxide-GSH","C11278","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"2-Naphthol","C11713","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Naphthol","C11714","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1,1-Dichloroethylene","C14039","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Nitronaphthalene","C14040","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-Bromophenol","C14453","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"9-Hydroxybenzo[a]pyrene","C14556","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1,2-Naphthoquinone","C14783","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene","C14784","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1,4-Dihydroxynaphthalene","C14785","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1R,2S)-Naphthalene 1,2-oxide","C14786","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1S,2R)-Naphthalene 1,2-oxide","C14787","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Nitrosonaphthalene","C14788","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"N-Hydroxy-1-aminonaphthalene","C14789","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Naphthylamine","C14790","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene","C14791","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene","C14792","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene","C14793","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1R)-Hydroxy-(2R)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene","C14796","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1R)-N-Acetyl-L-cysteinyl-(2R)-hydroxy-1,2-dihydronaphthalene","C14797","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1S)-Hydroxy-(2S)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene","C14798","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid","C14799","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Nitronaphthalene-5,6-oxide","C14800","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Nitro-5,6-dihydroxy-dihydronaphthalene","C14801","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Nitronaphthalene-7,8-oxide","C14802","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene","C14803","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene","C14804","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene","C14805","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene","C14806","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Bromobenzene-3,4-oxide","C14839","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Bromobenzene-2,3-oxide","C14840","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"2-Bromophenol","C14841","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Bromobenzene-2,3-dihydrodiol","C14842","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-Bromocatechol","C14843","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Bromobenzene-3,4-dihydrodiol","C14844","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-Bromophenol-2,3-epoxide","C14845","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-Bromo-3,5-cyclohexadiene-1,2-dione","C14846","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene","C14847","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene","C14848","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Benzo[a]pyrene-9,10-oxide","C14849","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Benzo[a]pyrene-7,8-oxide","C14850","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Benzo[a]pyrene-4,5-oxide","C14851","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Benzo[a]pyrene-7,8-dihydrodiol","C14852","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide","C14853","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"9-Hydroxybenzo[a]pyrene-4,5-oxide","C14854","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene","C14855","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene","C14856","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1,1-Dichloroethylene epoxide","C14857","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"2,2-Dichloroacetaldehyde","C14858","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Chloroacetyl chloride","C14859","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"2,2-Dichloro-1,1-ethanediol","C14860","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"S-(2,2-Dichloro-1-hydroxy)ethyl glutathione","C14861","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"2-S-Glutathionyl acetate","C14862","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"2-(S-Glutathionyl)acetyl glutathione","C14863","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"S-(2-Chloroacetyl)glutathione","C14864","hsa00980","Metabolism of xenobiotics by cytochrome P450"
